"ID_s","SINP","EDU_MAD","EDU_SUP","EDU_PRI","HOG_HAC","HOG_INET","HOG_BIBLIO","VIANDA","MIG_SUD","C1_REP","C2_REP","C1_SOB","C2_SOB","C1_NOPRO","C2_NOPRO","CONP","REPE_PRIM","CAMBIO","RIESGO","INTAR","MAT_MEDIA","EDU_MAD_SD","L_SW","H2","I_S","M","MIG_EUR","ATENCION","LQ_PRI","LQ_SUP","COOP","SUBS","C1_PROEX","C2_PROEX","SUP","EFIC","PEND","MAT_DESVIO","STATUS","ACCESIBILIDAD","TIPO_HABITAT","HAC_ESC","n","RECURSO","TIT","ASI","NODOC","IDIOMA_MULTI","DOC","NOPOF","VAR","CONTINUIDAD_PRE","SECTOR","T_DOBLE","T_MAÑANA","T_TARDE","T_VESPER","T_NOCHE","TIT_BACHILLER","TIT_BILINGÜE","TIT_COMERCIAL","TIT_TECNICO","N_PRI","N_SEC","N_SUP"
"ID1030",0.003125,5.61041522619179,0.268041237113402,0.293814432989691,1.58735039555352,0.859154929577465,0.0704225352112676,0.152777777777778,0.118055555555556,0.0491803278688525,0.11443433029909,0.448584202682563,0.377113133940182,0.281567489114659,0.165835411471322,0.0102678571428571,0.0234741784037559,0.197183098591549,0.0751173708920188,0.036197121674662,5.4262917,3.22739580315507,1.0742,0.9777,0.6497,0.051533750300292,0.000694444444444444,0.150234741784038,"Alto","Bajo","c/PJ","Estatal",0.370101596516691,0.453865336658354,0.209757716561567,0.25,-0.0217361111111111,1.00348232,21.305445915022,14.6666666666667,"Centro Administrativo y de Negocios",24.8275862068966,1440,9.99542160303292,0.576833720544308,7.60416666666667,1.45833333333333,0,187.013888888889,0,0.718055555555556,FALSE,"Estatal",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,86,128,78
"ID1040",0,6.02368148280361,0.318181818181818,0.136363636363636,1.47242424242424,0.884615384615385,0.0384615384615385,0,0.0742857142857143,0.0823529411764706,0.0111111111111111,0.211764705882353,0.266666666666667,0.150684931506849,0.119047619047619,0.00826446280991736,0.0384615384615385,0.269230769230769,0.230769230769231,0.004149377593361,4.76267202,3.06108269778626,0.9734,0.886,0.5861,0.104937335284936,0,0.192307692307692,"Medio","Medio","NO","SI",0.315068493150685,0.297619047619048,0.204724409448819,1.40540540540541,-0.0371428571428571,1.06726234,16.3221512321198,41.6666666666667,"Residencial bajo",29.1666666666667,175,9.33040267038493,1,2.57142857142857,2.85714285714286,0,153.142857142857,17.1428571428571,0.491428571428571,TRUE,"Privado",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,5,19,11
"ID1051",0,8.49643377519945,0.684210526315789,0,1.30873015873016,1,0.19047619047619,0,0,0,0,0.0952380952380952,0.0967741935483871,0,0.0327868852459016,0,0.0476190476190476,0.19047619047619,0.0476190476190476,0,5.33432775,2.44933905832195,0.6365,0.9183,0.4444,0.319978696408924,0,0.0952380952380952,"Bajo","Alto","NO","SI",0.5,0.491803278688525,0.00980392156862745,0.739130434782609,0.00192307692307693,0.55901819,7.30169014190122,35,"Residencial medio",20.8,104,9.57279374004624,1,5.76923076923077,0,0,229.807692307692,19.2307692307692,0.423076923076923,TRUE,"Privado",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,7,14
"ID1078",0.0126262626262626,8.26017528276089,0.666666666666667,0.037037037037037,1.23736559139785,0.864864864864865,0.0810810810810811,0,0.00687285223367698,0.0451127819548872,0.0379746835443038,0.157894736842105,0.221518987341772,0.0458015267175573,0.12781954887218,0.0151515151515152,0.027027027027027,0.216216216216216,0.162162162162162,0.0302267002518892,5.32424347,2.84300685737925,0.7656,0.6969,0.4696,0.201095345410304,0.00343642611683849,0.135135135135135,"Bajo","Alto","NO","NO",0.305343511450382,0.56390977443609,0.0909090909090909,0.966666666666667,-0.0247422680412371,1.25701371,5.4184706413399,45.2222222222222,"Residencial alto",29.1,291,9.71469084563414,1,3.60824742268041,0,0,140.893470790378,0,0.577319587628866,TRUE,"Privado",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,20,46
"ID1133",0.0125,8.51892254116094,0.727272727272727,0.0909090909090909,1.28666666666667,0.923076923076923,0.307692307692308,0,0.0617283950617284,0.166666666666667,0.210526315789474,0.625,0.43859649122807,0,0.112903225806452,0.0125,0.153846153846154,0.692307692307692,0.230769230769231,0.123595505617978,4.83331502,2.81019143010598,0.7029,0.6398,0.3984,0.247321050443441,0,0.230769230769231,"Bajo","Alto","NO","NO",0.62962962962963,0.564516129032258,0,1.72727272727273,0.0296296296296296,0.97929598,4.78047639365607,31.5555555555556,"Residencial alto",16.2,81,9.71469084563414,1,3.08641975308642,6.79012345679012,0,234.567901234568,0,0.320987654320988,FALSE,"Privado",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,3,12
"ID1150",0,9.55482370921583,0.849056603773585,0,1.18422077922078,1,0.140350877192982,0,0,0,0.0050251256281407,0.0428571428571429,0.0552763819095477,0.00714285714285714,0.015625,0.0132575757575758,0,0.12280701754386,0.140350877192982,0.00572519083969466,5.45045433,1.15087539353288,0.4293,0.6194,0.2604,0.482160209925488,0.00294985250737463,0.087719298245614,"Bajo","Alto","NO","NO",0.207142857142857,0.270833333333333,0.208955223880597,1.52777777777778,-0.00294985250737462,0.88593771,4.03027714607611,35.2222222222222,"Residencial alto",33.9,339,9.70681198749288,1,2.06489675516224,2.21238938053097,0.392330383480826,127.138643067847,0,0.389380530973451,FALSE,"Privado",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,10,55
"ID1184",0,7.31047553177833,0.5,0.142857142857143,1.5679012345679,1,0.107142857142857,0,0.0422535211267606,0,0,0.0303030303030303,0.118421052631579,0,0.12,0,0,0.0714285714285714,0.142857142857143,0.00462962962962963,5.3829532,3.22668821474757,0.9732,0.8859,0.5911,0.0512456602931696,0,0.0714285714285714,"Medio","Medio","NO","SI",0.212121212121212,0.333333333333333,0.155737704918033,1.11764705882353,-0.0183098591549296,0.71263468,7.25293399757973,20.5555555555556,"Residencial alto",71,142,9.50792831000529,1,4.22535211267606,7.74647887323944,0,201.408450704225,26.4084507042254,0.450704225352113,TRUE,"Privado",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,11,16
"ID1190",0,8.89510933328008,0.765957446808511,0.0425531914893617,1.12875717662952,0.979166666666667,0.270833333333333,0,0.0194174757281553,0.0547945205479452,0.0225563909774436,0.10958904109589,0.142857142857143,0.0512820512820513,0.0756302521008403,0.0126582278481013,0.0416666666666667,0.333333333333333,0.125,0.0126582278481013,5.28183872,2.27036260493921,0.6592,0.6,0.3808,0.283245682879836,0.0194174757281553,0.166666666666667,"Bajo","Alto","NO","NO",0.448717948717949,0.546218487394958,0.205752212389381,1.2972972972973,0.00922330097087376,1.2293358,4.1050733488385,40.3333333333333,"Residencial alto",20.6,206,9.85933661154388,1,4.61165048543689,2.66990291262136,0,220.873786407767,7.28155339805825,0.41747572815534,FALSE,"Privado",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,10,38
"ID1192",0.0272052761747733,4.18747190933945,0.135416666666667,0.479166666666667,1.78969098277609,0.890909090909091,0.0727272727272727,0.0417227456258412,0.100942126514132,0.205607476635514,0.12085308056872,0.46417445482866,0.466824644549763,0.206997084548105,0.271662763466042,0.0140148392415499,0.0909090909090909,0.245454545454545,0.181818181818182,0.0284043441938179,4.51972709,2.97639128276304,0.9922,0.9032,0.6043,0.209244439519352,0,0.163636363636364,"Alto","Bajo","s/PJ","Estatal",0.311953352769679,0.348946135831382,0.145790554414784,0.824175824175824,-0.0125168236877523,0.84290684,8.76747019453877,34.7777777777778,"Residencial medio",24.7666666666667,743,9.70412794579928,0.351129363449692,3.23014804845222,1.34589502018843,0,112.78600269179,2.28802153432032,0.438761776581427,FALSE,"Estatal",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,77,62,22
"ID1194",0,8.50709432719281,0.649350649350649,0.0454545454545455,1.3912518037518,0.957055214723926,0.171779141104294,0,0.00606060606060606,0.0516795865633075,0.0273972602739726,0.0594315245478036,0.0958904109589041,0.0984340044742729,0.101694915254237,0.0216886134779241,0.0122699386503067,0.214723926380368,0.0858895705521472,0.00785545954438335,6.45078437,2.40188961713674,0.786,0.7155,0.4849,0.186110285307452,0.00121212121212121,0.0920245398773006,"Bajo","Alto","NO","SI",0.364653243847875,0.326876513317191,0.0642895732036737,0.731277533039648,-0.0264242424242424,1.03771339,20.2947831116116,16.3333333333333,"Ciudad Central",23.5714285714286,825,9.85379944606381,1,2.06060606060606,1.93939393939394,0,197.090909090909,0,0.652121212121212,FALSE,"Privado",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,8,53,112
